text,label
@user innalillahi wa'ina ilaihim raji'u 😭😭😭😭 ya allah kana ganin halin da muke ciki ya allah kawo mana dauki amma wllh allah shugaban nin kasar mu hakkine a kanku wllh kuma karku manta allah yabaku shugaban cine badan kuyi abuda kuke soba aaa allah y baku ne dn al'uma,positive
"@user neman halal dawuya yake banga laipin kaba baba suma masu kawo mana neman arziki sukewa kasar su muma mu dage muyi noma mu nemawa kasar mu arziki kamar yadda sukeyi, @user kowa yaja dakai sai yaji ajikinsa 😂",positive
@user allah yaji qansa da rahama😭😭. amma mai yasa baba buhari bai bisu ba,positive
"@user allah ya kyauta. an bar al umma cikin masifar talauchi da tashin hankali. allah ya sakawa masu hakki. ya kamata kamar yadda ake a sauran kasashen duniya da suka ci gaba, shugabanni su dai na daukar dukiyar al umma da aka basu amana kamar tasu. 😭😭😭😭",positive
@user allah muntuba🙏 shedanci yasamu wajen zama a kasar da shugaba s.a.w yake kwance😭. ya allah karusa dukkan wani shiri na kafirai,positive
@user to allah ya kawomana karshen wannan mulki lafiya yabamu shugabanni masu sammu ameen 🤲,positive
@user babu laifi domin matukar ana samun malamai masu (taqwah) suna shiga siyasa abune mai matukar muhimmanci domin sune sukafi can-canta dasu shiga domin kawo gyara a harkar.🤗,positive
@user haka yayi dai wllh tunda bana su bane dama na talaka wane kuma sun kwashe kayan su allah yashiga tsaka nin muda mugayen shugaba amin 🙏🙏🙏,positive
"@user allahummah gafirlahu wa raham hum, wa af anhum baadahu !! shugaba nagari mai kishi . allah ya haskaka kabarinka😭😭😭😭",positive
@user tsoho baban yaro! adawo lfy 🙏,positive
@user innalillahi wa'ina raji'u 😭 ya allah kana ganin irin halin da muke ciki ya allah kawo mana sauki da rangomi ku kuma shugaban nin mu kusani allah ne ya baku milki kuma a lokacin da yake so ya karbi milk sa babu makawa sai ya karba kuma wllh zaku hade da allah dole kuyi bayani,positive
@user @user muma munabayanka .....sai baba buhari.. allah yakara lafiya.. allah yatayamaka💕💕💕💕💕💕💕,positive
@user allah sarki adalin shugaba babu komai allah ya na tara da kai 😭😭😭,positive
@user allah ubangiji yakyauta yamana saukin matsalar kasarmu nigerian kuma yaba mu shugabannin adulation🙏🙏🙏,positive
@user @user allah ya ja kwanan baba. 🙏,positive
@user an baiwa buhari kyautar jirgi😂,positive
@user toh allah tsare a sauka lafiya baba🤚🤚,positive
@user 😁 wai atiku up baba muna yin ka,positive
@user mu agurinmu badan wahala bane. nigeria se baba ✌two terms,positive
@user allah yasa kadai na shan tabar wiwi baba dan saura kadan a tasa a kawo ka dawanau😏,positive
@user @user hello nigeria's 🤣🤣🤣🤣🤣sai baba,positive
@user #baba_is_owk. hadin kan wadan nan muta nan muke so. ina da tabbacin allah zai kawo mana karshen ta'addancin dake damun mu. 👇👇👇👇 https://t.co/o3rqvndqws,positive
@user gaskiya flm yayi dama duk babarinda zakaji ko tarihi yakamata kadan asalin farkonshi niday hakan ya birgeni kuma allh yakara basira da daukaka😍👉💯,positive
@user jamiyyar zata rabu biyu kuma haka mukeso 2023 mu cinye su zabe 🤣🤣,positive
@user 🤔haba ae baba buhari yayi kokari matuka.,positive
"@user babu shugaba da ya kai baba buhari gaskiya da tausayin talakawa, cigaba da gashi tsoho dan daura.😁🏃",positive
@user 1-rana fitilar allah 2- rana mai rabama kowa aiki 3- rana mai haska mutun kowa babanai 4- rana fitilar duniya ko baka so sai ta haska ma 5- rana mai ikon allah ki fito yau ki fito gobe. allah mun gode a daka bamu rana 😊😊,positive
@user insha allah baba kaikeda nasara ai imanin da yy da allah ne yasa yace shi xaici dan yasan ubangijinsa baxai kunyatashi👐👐have faith in allah nd he will never let u down.,positive
@user allaah ya gafarta maka gamji ɗan kwarai. ahmadu bello sardaunan sokoto. najeriya tayi asarar gwarzo 👍👍,positive
@user @user wanna abu din muna bawa kammu wahala ne amma kutina allah ya turo mana da shugabamu annabi mu dan haka kowa ya koma qur’ani koh hadisi amma wanna maganganu ba naku bane shi musulmi komi nashi yana yinsa ne da koyar war addini musulin ci allah kah ganar damu baki daya 🤲🏻,positive
"@user allah yaqara maka lafiya baba ibb,ashe kune masoya arewa bamusani.😭😭😭yanda muka rinqa zaginka a baya wallahi rashin sanine dan allah kayi hakuri.allah yasa kagama lafiya.",positive
