text,label
matar buhari ta haifi jirgi,Negative
wayac zaba buhari,Neutral
allah kara ma baba lafia kamanta adalcii tsakankanin yan nigeriaus,Positive
obama kayi rawar gani sosai gaskia duniya za ta yi reshin shugaba nagari bamu san ya amurka zata kasanc idon ka sauka daga mulki,Positive
malamai baku abin post kawai kusamanna hoton buhari kawai xaxxageshi,Negative
abinda dariya wai yaro ya tsinchi hakori abin tambaya anan shine ya akai suka ganoshi ya ajiy abu ai yasan inda yake allah ya kyauta allah ya kare jahar najeriya baki daya ya rabb,Positive
dokar korona hmm akwa allah pa,Neutral
dan allah majalisar dinkin duniya tazo ta kwace mulki hannun baba bubari,Negative
taab har tausayawa masu yin zaben don zasu sha rana banza,Negative
raayi shine shugan kasa baya kyauta mana yan arewa anzo ana zanga zanga kan kash kash mutan ake arewacin nigeria yasa an kama shugaban daya jagor zanga zangar gashi kudi an kash mutum daya gashi ana zanga zanga yace sunyi daidai harya karfi korafi,Negative
baba buhari nufin wae an koro daga rana sae shiga duhuwa boy sha inuwa,Neutral
hukunci abinda zai rage kara wa musulmi harahar in har zan kash sama mutum dai life imprison tabba kowa wa zai aikata sama dahaka tunda still nan ray sannan in the futur wata gwamnatin tabashiparol httpstcobfqjvuth,Negative
shugabar yan film ta nigeria love you,Positive
hukuncin yayi daidai domin kar wata tattabara ta kara karya doka,Positive
allah yakawo ma jamaar kaduna dama najeriya saukin al amari,Positive
tabbbbbbb wlh gara dai mubi kudin next time fa uban talauci gashi biyan bukata mudai kam allah ya isan wlh buhari kasha jarrrrrrr miya soranka year,Negative
gareka shugaba hukumomin lall akwai sauran aiki gabanku,Neutral
nifa wallahi buhari allah daya yace min nayi tunanin wani yafada masa,Negative
babu yanda zaai jinin yan uwanmu malalakuyi tunanin zamu tayaku murnar democraci day wallahi karyan northernlivesmatt,Negative
anayi din baba yayi yardar allah,Positive
allah yabaka ja presid,Neutral
kace dole ganduj yadag abashi nash,Neutral
toh ruwanmu muma adalci buhari yake yi mana,Negative
ganduj gandun aiki,Positive
bakin ciki yawon shugaban kasa yakeyi,Negative
majalisar usman mai shayi,Neutral
buhari yakoma buga lamba hutu yazama casemiroatiku yanzu tara yake bugawa don ball kawai yake nema,Neutral
kuce mata karta damu babanta waliyyin siyasa babu abnda zai sameta ya roqar musu,Neutral
ash najeriya kadai yantaada suka raina,Negative
zakuci naman baba lale,Neutral
bayanka gsk munyi zaben tumun dare nigeria,Negative
baban abba ganduj allah yasa jinkiri yazamo muna alheri,Positive
tunda baba yace babu vacanc,Neutral
aikin gwamnati dole bazaiyuba ya rasa aikiba gamunan jimuk kamar sama namu takardu wuta,Negative
allah ya gafarta musu yasa aljannatul firdau itac makoma garesu sannan shugabanni kuji tsoron allah wallahi allah ya tambayeku akan nauyin daya dora muku,Positive
ya ishemu ishara damn ban taba zabe b wlh bazn fara bh tinda bata raayin kune raayn arcahmad bh,Negative
origin baba buharin dai ya fi kyau,Neutral
wai waenda akac suna so kash buhari lokacin ya fara tafiy tafiy me kuke jirasuyi suicid kawai ya shirya tafiya ya tafi dan banza,Negative
nidai iya nawa tunani babu gaskiya cikin lamari sabida de har shugaban kasa yakasa tura jamian tsaro tsare kasa to miy laifin gomnoni inda harsunc xasuyi iya qokarinsu akai,Negative
maganar gaskiya nigeria gwamnati koh muso ki maganar take dan hakika buhari tamkar gawa gwara kawar ma ta kwarjini aiki kwarjini bakin magana yayi magana ka ji dama shurun yayi allah wadaren ka ya lalac,Negative
zai taimakawa azzaluman shugabannin dea habaka aljinsu,Negative
muna godiyah baba kana,Positive
ydg fatan alheri ga iyalan shugaba buhari mungod allah ya dawo mana dashi lfi ana cewa bazai dawo dai gawan sa,Positive
way kenan zai kafa inc ganduj kam,Neutral
ai fa baban sude kabada himma oga qasannan dai kamar fita insha allah,Positive
